words,quantity
'ph08700435505150p', 1
'08712402779', 1
'08718730555', 1
'set', 1
'09096102316', 1
'2moro', 1
'jane', 1
'80488biz', 1
'videosound', 1
'gold', 1
'videosounds2', 1
'logosmusicnews', 1
'jamstercouk', 1
'09701213186', 1
'\x89ûïharry', 1
'sang', 1
'uptown', 1
'80', 1
'nick', 1
'tom', 1
'pete', 1
'dick', 1
'fact', 1
'types', 1
'win150ppmx3age16', 1
'dartboard', 1
'condition', 1
'doubles', 1
'trebles', 1
'optin', 1
'whats', 1
'bbc', 1
'charts', 1
'summers', 1
'finally', 1
'matched', 1
'help08714742804', 1
'havin', 1
'borin', 1
'09099725823', 1
'bought', 1
'offering', 1
'07801543489', 1
'latests', 1
'no83355', 1
'tcllc', 1
'nyusa', 1
'150pmt', 1
'msgrcvd18', 1
'meetins', 1
'cumin', 1
'09099726395', 1
'credited', 1
'www80488biz', 1
'2channel', 1
'leadership', 1
'skills', 1
'strong', 1
'psychic', 1
'wquestion', 1
'vote', 1
'along', 1
'stars', 1
'karaoke', 1
'install', 1
'browse', 1
'artists', 1
'10803', 1
'08714719523', 1
'wwworangecoukow', 1
'08719899230', 1
'olympics', 1
'rtking', 1
'pro', 1
'ringtonekingcouk', 1
'08701237397', 1
'redeemable', 1
'wwwringtonekingcouk', 1
'02072069400', 1
'bx', 1
'526', 1
'0a', 1
'allow', 1
'companies', 1
'responsible', 1
'suppliers', 1
'feelin', 1
'kinda', 1
'lnly', 1
'jst', 1
'rgent', 1
'lookin', 1
'daytime', 1
'busty', 1
'woman', 1
'sort', 1
'09099726429', 1
'janinexx', 1
'09050001295', 1
'a21', 1
'monthly', 1
'mobsicom', 1
'391784', 1
'0089', 1
'four', 1
'digits', 1
'09063442151', 1
'sufficient', 1
'prebook', 1
'trackmarque', 1
'vipclub4u', 1
'mandy', 1
'sullivan', 1
'hotmix', 1
'fm', 1
'500000', 1
'easter', 1
'telephone', 1
'09041940223', 1
'290305', 1
'transferred', 1
'else', 1
'conacted', 1
'09111030116', 1
'pobox12n146tf15', 1
'brother', 1
'09064018838', 1
'cro1327', 1
'1225', 1
'50award', 1
'hottest', 1
'wanting', 1
'hack', 1
'backdoor', 1
'rooms', 1
'fraction', 1
'neo69', 1
'09050280520', 1
'subscribe', 1
'dps', 1
'bcm', 1
'8027', 1
'12price', 1
'xnet', 1
'100txtmth', 1
'2optoutd3wv', 1
'08718726970', 1
'prizeto', 1
'nearly', 1
'banned', 1
'09058094594', 1
'09061743811', 1
'09090900040', 1
'extreme', 1
'dirty', 1
'office', 1
'total', 1
'privacy', 1
'knows', 1
'sic', 1
'listening', 1
'60p', 1
'247mp', 1
'0870753331018', 1
'videopic', 1
'fones', 1
'wild', 1
'ill', 1
'hurry', 1
'150prcvd', 1
'stop2stop', 1
'08715500022', 1
'rpl', 1
'cnl', 1
'08702490080', 1
'vpod', 1
'09090204448', 1
'minded', 1
'evening', 1
'minapn', 1
'ls278bb', 1
'09065394973', 1
'31', 1
'2006', 1
'fifa', 1
'world', 1
'held', 1
'09061743810', 1
'yohere', 1
'open', 1
'skillgame1winaweek', 1
'age16150ppermesssubscription', 1
'09094100151', 1
'cast', 1
'gbp5month', 1
'box61', 1
'm60', 1
'1er', 1
'ages', 1
'09066362220', 1
'wither', 1
'eg23f', 1
'eg23g', 1
'messagestext', 1
'web2mobile', 1
'txt250com', 1
'box139', 1
'la32wu', 1
'txtx', 1
'85233', 1
'help08700469649', 1
'box420', 1
'087123002209am7pm', 1
'b4u', 1
'wc', 1
'2703', 1
'marsms', 1
'wwwb4utelecom', 1
'08717168528', 1
'buffy', 1
'qlynnbv', 1
'help08700621170150p', 1
'449month', 1
'bundle', 1
'deals', 1
'avble', 1
'call2optoutj', 1
'mf', 1
'08714712379', 1
'k718', 1
'09065069120', 1
